"","Especie","top.freq","bottom.freq","duration","meanfreq","sd","freq.median","freq.Q25","freq.Q75","freq.IQR","time.median","time.Q25","time.Q75","time.IQR","skew","kurt","sp.ent","time.ent","entropy","sfm","meandom","mindom","maxdom","dfrange","modindx","startdom","enddom","dfslope","meanpeakf"
"Pheucticus_150","Pheucticus",3.8534,2.783,0.0814255409999944,3.35737773697065,0.163071003015049,3.3981724137931,3.28744137931034,3.43508275862069,0.147641379310345,0.0542857142857143,0.0407142857142857,0.0678571428571429,0.0271428571428571,2.25376258490457,7.85527577203932,0.83534446266472,0.923707030952304,0.771613553430476,0.418977826589706,3.32936448317308,2.88544921875,3.48837890625,0.6029296875,2.57142857142857,3.22998046875,2.88544921875,-4.23124299536461,3.41547121062992
"Pheucticus_156","Pheucticus",3.4609,2.2478,0.0549622400000018,2.87524018369637,0.180040110115371,2.90949090909091,2.85435,2.92787121212121,0.0735212121212116,0.0392614188532556,0.0235568513119534,0.0471137026239067,0.0235568513119534,3.90422627258259,18.477568682586,0.722863764540139,0.853267040705552,0.61679582520244,0.345514513960431,2.8531494140625,2.62705078125,2.97158203125,0.34453125,1.5,2.62705078125,2.79931640625,3.13425408061961,2.89663970226378
"Pheucticus_158","Pheucticus",4.7811,4.1388,0.0549622400000018,4.48563448263654,0.0870781960051786,4.46912571428572,4.43242285714286,4.52418,0.0917571428571428,0.0392452218982831,0.0235471331389699,0.0470942662779398,0.0235471331389699,2.18927654795023,7.15110196830459,0.773228748461289,0.855954420906235,0.661848565617235,0.353382468085918,4.500439453125,4.43583984375,4.69423828125,0.258398437499999,1,4.43583984375,4.69423828125,4.7013811209294,4.53960614542323
"Zenaida_159","Zenaida",0.785,0.3925,0.0834611790000039,0.637335590756484,0.0791791970092467,0.650078125,0.6378125,0.66234375,0.02453125,0.0486904761904762,0.0278231292517007,0.0695578231292517,0.041734693877551,3.05026900339636,11.3554356658651,0.781902433575789,0.950971673113094,0.743567065468768,0.520147353624485,0.652621694711538,0.64599609375,0.73212890625,0.0861328125,2,0.64599609375,0.64599609375,0,0.648369832677165
"Pheucticus_166","Pheucticus",3.8177,2.3192,0.103817563999996,2.82112866951517,0.350702910027515,2.66723870967742,2.59956451612903,2.9186,0.319035483870968,0.0692063492063492,0.0415238095238095,0.0830476190476191,0.0415238095238095,3.0263405455116,13.1999236288449,0.880621461001132,0.947288704595785,0.834202763031009,0.556706184047492,2.6701171875,2.45478515625,3.48837890625,1.03359375,2.33333333333333,2.45478515625,2.62705078125,1.65931099096109,2.63722394808071
"Mimus_168","Mimus",5.1022,2.676,0.130280865,3.7654264691056,0.487831752620739,3.77393227848101,3.38236202531646,4.06569050632911,0.683328481012658,0.0586224489795918,0.0325680272108844,0.0911904761904762,0.0586224489795918,1.38964381004707,4.73697046275135,0.934317931497365,0.95814093781299,0.895208259100378,0.627542747234208,3.66474609375,2.79931640625,4.09130859375,1.2919921875,3.66666666666667,2.79931640625,3.74677734375,7.27244893177523,3.76135888287402
"Pheucticus_170","Pheucticus",5.3876,3.3182,0.164886719999998,4.56793859370014,0.368144061623233,4.67150263929619,4.3680715542522,4.82928680351906,0.461215249266863,0.0824489795918367,0.0507378335949765,0.107817896389325,0.0570800627943485,1.72405485277541,5.34247555113905,0.902679948406899,0.935974912884873,0.844885786073069,0.488899742752011,4.50556640625,3.48837890625,4.95263671875,1.4642578125,2.05882352941177,4.43583984375,3.48837890625,-5.7461324811362,4.7990218996063
"Zenaida_171","Zenaida",0.999,0.4638,0.199492575000001,0.693995084351438,0.108051036425205,0.680909433962264,0.640516981132075,0.741498113207547,0.100981132075472,0.0810381235827664,0.0436359126984127,0.124674036281179,0.0810381235827664,2.36169498141745,8.25378738941593,0.900416559487228,0.921595510867458,0.82981985913415,0.632092851786072,0.621771240234375,0.47373046875,0.99052734375,0.516796875,9.66666666666667,0.47373046875,0.47373046875,0,0.734841750738189
"Pheucticus_176","Pheucticus",3.6036,2.89,0.122138311,3.23117304891874,0.136706861457392,3.25910344827586,3.14427126436782,3.32472183908046,0.180450574712644,0.0642797469865139,0.0385678481919083,0.0899916457811195,0.0514237975892111,1.48440878187666,5.16710718749589,0.907759606242919,0.955467336172447,0.867334652861872,0.599351715566341,3.242900390625,2.97158203125,3.40224609375,0.4306640625,3.6,3.05771484375,3.05771484375,0,3.3289992925689
"Mimus_183","Mimus",2.4619,1.3558,0.0997462870000021,1.86928904787634,0.220713532274586,1.78818454545455,1.73790727272727,1.92896090909091,0.191053636363636,0.0532003023431595,0.0332501889644747,0.0731504157218443,0.0399002267573696,2.78261263380788,10.6105927628396,0.852901864128006,0.958600595766319,0.817592235083311,0.50502523374897,1.80263671875,1.42119140625,2.36865234375,0.9474609375,1,1.42119140625,2.36865234375,9.49870883414417,1.77250476747047
"Pheucticus_188","Pheucticus",3.7464,2.5689,0.0773542629999895,3.19200976153516,0.247059286126173,3.20293846153846,3.03472417582418,3.35821318681319,0.323489010989011,0.056252319109462,0.0421892393320965,0.0632838589981447,0.0210946196660482,0.935648993183188,3.00863743817741,0.933327403136808,0.91847101980141,0.857234171767665,0.694636892971068,3.0720703125,2.79931640625,3.31611328125,0.516796875,4,2.79931640625,3.31611328125,6.68091007473072,3.3289992925689
"Zenaida_193","Zenaida",0.9277,0.4638,0.191350020999991,0.676817805052486,0.0816867931348159,0.685206818181818,0.632490909090909,0.706293181818182,0.0738022727272728,0.10204686318972,0.0637792894935752,0.140314436885865,0.0765351473922903,2.73572519152464,10.7941574923792,0.866478218730183,0.92547041605245,0.801899957588608,0.498454367448295,0.6890625,0.47373046875,0.81826171875,0.34453125,5.5,0.47373046875,0.64599609375,0.900264468745515,0.734841750738189
